A	new	test:			
					
arrSizeN	time	,	threadsPerblock_local	=	1
1024	2722				
2048	2804				
4096	2102				
8192	2007				
16384	2566				
32768	4226				
65536	6087				
131072	10512				
262144	21150				
524288	37346				
1048576	70741				
2097152	137442				
4194304	270719				
8388608	540156				
					
A	new	test:			
					
arrSizeN	time	,	threadsPerblock_local	=	2
1024	1883				
2048	2161				
4096	3805				
8192	2435				
16384	3306				
32768	3544				
65536	5668				
131072	6547				
262144	11407				
524288	20583				
1048576	38451				
2097152	71079				
4194304	138004				
8388608	272248				
					
A	new	test:			
					
arrSizeN	time	,	threadsPerblock_local	=	4
1024	2138				
2048	3656				
4096	2227				
8192	2670				
16384	2444				
32768	3172				
65536	3738				
131072	4290				
262144	7563				
524288	12135				
1048576	20851				
2097152	37506				
4194304	71602				
8388608	138711				
					
A	new	test:			
					
arrSizeN	time	,	threadsPerblock_local	=	8
1024	3465				
2048	2287				
4096	2939				
8192	2810				
16384	1875				
32768	2970				
65536	3869				
131072	3730				
262144	5467				
524288	8478				
1048576	12670				
2097152	22505				
4194304	40144				
8388608	76306				
					
A	new	test:			
					
arrSizeN	time	,	threadsPerblock_local	=	16
1024	1890				
2048	2848				
4096	1730				
8192	2364				
16384	2234				
32768	2659				
65536	2862				
131072	3162				
262144	4551				
524288	6339				
1048576	8095				
2097152	12923				
4194304	21981				
8388608	40950				
					
A	new	test:			
					
arrSizeN	time	,	threadsPerblock_local	=	32
1024	2290				
2048	2438				
4096	2524				
8192	3539				
16384	2243				
32768	2847				
65536	2526				
131072	2699				
262144	3752				
524288	5347				
1048576	6083				
2097152	9650				
4194304	15139				
8388608	23106				
					
A	new	test:			
					
arrSizeN	time	,	threadsPerblock_local	=	64
1024	3726				
2048	2681				
4096	2320				
8192	1736				
16384	2054				
32768	2267				
65536	2475				
131072	2873				
262144	3467				
524288	4676				
1048576	6678				
2097152	6524				
4194304	9181				
8388608	14809				
					
A	new	test:			
					
arrSizeN	time	,	threadsPerblock_local	=	128
1024	2376				
2048	2000				
4096	2908				
8192	2274				
16384	1918				
32768	2356				
65536	2000				
131072	2652				
262144	3449				
524288	4391				
1048576	5464				
2097152	7182				
4194304	9001				
8388608	14390				
					
A	new	test:			
					
arrSizeN	time	,	threadsPerblock_local	=	256
1024	1800				
2048	2904				
4096	1790				
8192	1715				
16384	2458				
32768	2378				
65536	2518				
131072	2688				
262144	3487				
524288	4628				
1048576	5879				
2097152	6406				
4194304	9001				
8388608	14422				
					
A	new	test:			
					
arrSizeN	time	,	threadsPerblock_local	=	512
1024	1749				
2048	2227				
4096	2228				
8192	3003				
16384	3438				
32768	3508				
65536	2319				
131072	2926				
262144	3385				
524288	4503				
1048576	4865				
2097152	6558				
4194304	8957				
8388608	15030				
