A new test: 

arrSizeN  time , threadsPerblock_local = 1
1024     3151
2048     2404
4096     3469
8192     2682
16384     2948
32768     4549
65536     6941
131072     9892
262144     19683
524288     38268
1048576     70972
2097152     137690
4194304     270206
8388608     540241A new test: 

arrSizeN  time , threadsPerblock_local = 2
2048     2290
4096     2587
8192     2249
16384     2475
32768     3277
65536     4256
131072     6122
262144     11336
524288     20699
1048576     37669
2097152     70696
4194304     138261
8388608     272241
-842150451     -842150451A new test: 

arrSizeN  time , threadsPerblock_local = 4
2048     1957
4096     1932
8192     2190
16384     2272
32768     4015
65536     4655
131072     4689
262144     6969
524288     12168
1048576     20756
2097152     37628
4194304     71449
8388608     138718
-842150451     -842150451A new test: 

arrSizeN  time , threadsPerblock_local = 8
2048     1995
4096     2008
8192     2051
16384     3151
32768     2885
65536     3742
131072     3550
262144     5414
524288     8176
1048576     13407
2097152     22103
4194304     41158
8388608     76509
-842150451     -842150451A new test: 

arrSizeN  time , threadsPerblock_local = 16
2048     2289
4096     2030
8192     2367
16384     2046
32768     2892
65536     2722
131072     3294
262144     5145
524288     6833
1048576     8233
2097152     13264
4194304     22287
8388608     40507
-842150451     -842150451A new test: 

arrSizeN  time , threadsPerblock_local = 32
2048     3154
4096     2092
8192     2957
16384     2080
32768     2659
65536     2575
131072     3011
262144     4453
524288     5450
1048576     6718
2097152     8647
4194304     13351
8388608     23483
-842150451     -842150451A new test: 

arrSizeN  time , threadsPerblock_local = 64
2048     2193
4096     2021
8192     2036
16384     1905
32768     2921
65536     2724
131072     3188
262144     3262
524288     4381
1048576     5083
2097152     6487
4194304     9468
8388608     14132
-842150451     -842150451A new test: 

arrSizeN  time , threadsPerblock_local = 128
2048     2956
4096     2241
8192     1654
16384     1746
32768     2300
65536     2504
131072     2822
262144     3419
524288     4660
1048576     6200
2097152     6604
4194304     8683
8388608     15657
-842150451     -842150451A new test: 

arrSizeN  time , threadsPerblock_local = 256
2048     2108
4096     2316
8192     2246
16384     1892
32768     3056
65536     2512
131072     2651
262144     4200
524288     4698
1048576     5354
2097152     6052
4194304     9385
8388608     14157
-842150451     -842150451A new test: 

arrSizeN  time , threadsPerblock_local = 512
2048     1908
4096     1782
8192     3372
16384     2231
32768     2743
65536     2305
131072     3014
262144     3202
524288     4837
1048576     5292
2097152     6395
4194304     9403
8388608     14601
-842150451     -842150451
